Showers,Sinks,CW,DW,Baths
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.013986,,,
,0.0055032,,,
,0.0119489,,,
,,,,
,,,,
,0.0490118,,,
,,,,
,,,,
,0.0612344,,,
,,,,
,0.041806,,,
,,,,
,0.0059593,,,
,0.0298875,,,
,,,,
,,,,
,,,,
,0.0008817,0.0097699,,
,0.0420493,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0023411,,,
,0.0379446,,,
,0.0102463,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0339313,,,
,0.0010033,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0002432,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.3918605,,,,
,,,,
,,,,
,,,,
,,,,
,0.0470964,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0329888,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.005716,0.0250505,,
,,,,
,,,,
,,0.0287444,,
,,,,
,,,,
,,,,
,,,,
,0.042779,0.012717,,
,,,,
,0.0073275,,,
,0.0130131,,,
,,,,
,,,,
,,,,
,,0.0652402,,
,0.0083308,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0282802,,
,,,,
,0.0522043,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0839161,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.3421565,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.009395,,,
,,,,
,,,,
,,,,
,0.0830952,,,
,0.0043174,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0696261,,,
,,,,
,,,,
,,,,
,0.0684099,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0006993,,,
,,,,
,,,,
,,,,
,0.0093037,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0090909,,,
,,,,
,,,,
,,,,
,,,,
,0.051505,,,
,,,,
,0.0006689,,,
,,,,
,0.0054424,,,
,,,,
,,,,
0.159408,,,,
,,,,
,,,,
0.3042704,0.0077227,,,
,0.2239585,,,
,0.0875646,,,
,,,,
,,,,
,,,,
,,,,
0.2457715,,,,
0.1966172,,,,
,0.0225905,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
