Date/Time,Appl_1:InteriorEquipment:Electricity [J](Hourly),COOLING HVAC FAN PUMP_1 [J](Hourly),COOLING:ELECTRICITY_1 [J](Hourly),ELECTRICITY:UNIT_1 [J](Hourly),GAS:UNIT_1 [J](Hourly),HEATING HVAC FAN PUMP_1 [J](Hourly),HEATING:ELECTRICITY_1 [J](Hourly),HEATING:GAS_1 [J](Hourly),HEATING:PROPANE_1 [m3](Hourly),HPWHFAN:ELECTRICITY_1 [J](Hourly),METERCOOLINGDUCTLOSSESLATENT_1 [J](Hourly),METERCOOLINGDUCTLOSSESSENS_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTDEHUM_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTHVAC_1 [J](Hourly),METERDELIVEREDCOOLINGSENS_1 [J](Hourly),METERDELIVEREDHEATINGSUPP_1 [J](Hourly),METERDELIVEREDHEATINGTOZONE_1 [J](Hourly),METERDHWDELIVERED_1 [J](Hourly),METERHEATINGDUCTLOSSES_1 [J](Hourly),METERPIPELOSSESUNIT_1 [J](Hourly),Misc_1:InteriorEquipment:Electricity [J](Hourly),Misc_1:InteriorEquipment:Gas [J](Hourly),PROPANE:UNIT_1 [m3](Hourly),PV:ELECTRICITY_1 [J](Hourly),SDHWPUMP:ELECTRICITY_1 [J](Hourly),TOTALLIGHTS:ELECTRICITY_1 [J](Hourly),VentFans_1:InteriorEquipment:Electricity [J](Hourly),WATERHEATING:GAS_1 [J](Hourly),WATERHEATING:PROPANE_1 [m3](Hourly) 
 01/01  14:00:00,1289556.6705075589,0.0,0.0,3798740.6221982014,61874.63389721839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320736.1100652042,0.0,196787.8498538904,1375276.5768841792,0.0,0.0,0.0,0.0,1101021.3748064636,32886.0,61874.63389721839,0.0 
 01/01  15:00:00,1243273.3397797018,0.0,0.0,3724060.822028278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196787.8498538904,1344714.875175642,0.0,0.0,0.0,0.0,1103186.6070729348,32886.0,0.0,0.0 
 01/01  16:00:00,1202247.236650511,0.0,0.0,3769998.5465945166,6007931.311412562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3201406.4109599317,0.0,172202.52992832385,1405838.278592717,0.0,0.0,0.0,0.0,1129027.0313512877,32886.0,6007931.311412562,0.0 
 01/01  17:00:00,1451359.2618874673,0.0,0.0,4376077.573579139,6354851.271591434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4465132.417544239,0.0,229585.82482953883,1655961.6820097913,0.0,0.0,0.0,0.0,1235870.6296818802,32886.0,6354851.271591434,0.0 
 01/01  18:00:00,1826615.1859950594,0.0,0.0,5070499.351557935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303394.42983091747,1589208.4872124897,0.0,0.0,0.0,0.0,1531789.6783503849,122886.0,0.0,0.0 
 01/01  19:00:00,1594814.8985418627,0.0,0.0,5296686.400526046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360830.3699568123,1619770.1889210267,0.0,0.0,0.0,0.0,2031215.3130631569,50886.0,0.0,0.0 
 01/01  20:00:00,1225037.5691739976,0.0,0.0,5249181.269343852,1554707.7156986353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344405.05985664817,1528085.0837954148,0.0,0.0,0.0,0.0,2463172.6163744407,32886.0,1554707.7156986353,0.0 
 01/01  21:00:00,1073752.4362870979,0.0,0.0,4997738.168156641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311607.0848809997,1436399.980301254,0.0,0.0,0.0,0.0,2454699.7515682887,32886.0,0.0,0.0 
 01/01  22:00:00,1028508.8320078589,0.0,0.0,4450627.864530386,4333234.327815371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886163.0017732216,0.0,254223.78997978485,1375276.5768841792,0.0,0.0,0.0,0.0,2013956.4556383477,32886.0,4333234.327815371,0.0 
 01/01  23:00:00,845509.5529550103,0.0,0.0,3321681.982620469,827941.0742659249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221425.81500413645,1222468.0683414927,0.0,0.0,0.0,0.0,1220818.3613239655,32886.0,827941.0742659249,0.0 
 01/01  24:00:00,566765.837745014,0.0,0.0,2322023.9968760956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122979.2448525113,1100221.2615073436,0.0,0.0,0.0,0.0,622150.8976237377,32886.0,0.0,0.0 
 01/02  01:00:00,374401.0118661388,0.0,0.0,1831141.142928775,3712328.301630527,45270.09826144435,0.0,2156561.7723790609,0.0,0.0,1361.5946001322555,0.0,0.0,-1361.5946001322555,0.0,0.0,1767322.9123717896,0.0,173582.68276936486,32797.9749756484,1069659.5597988063,0.0,0.0,0.0,0.0,308924.47300238566,32886.0,1555766.5292514663,0.0 
 01/02  02:00:00,322803.86038115128,0.0,0.0,1660245.2112538773,4340150.501754249,110664.5106895624,0.0,4340150.501754249,0.0,0.0,905.4377077945535,0.0,0.0,-905.4377077945535,0.0,0.0,3477417.9578875086,103148.51729101055,428717.493691316,16425.310100164195,1008536.1563817315,0.0,0.0,0.0,0.0,185354.6838014321,32886.0,0.0,0.0 
 01/02  03:00:00,275424.2100462132,0.0,0.0,1576704.3583114674,8163770.728044851,166849.90439110518,0.0,6422024.188657507,0.0,0.0,34.56046699618392,0.0,0.0,-34.56046699618392,0.0,0.0,5120863.988161104,933377.2270750785,658957.7816306519,4106.32752504106,977974.4546731942,0.0,0.0,0.0,0.0,123569.78920095472,32886.0,1741746.539387343,0.0 
 01/02  04:00:00,246941.4284444812,0.0,0.0,1581801.7004047624,10303125.647233297,230991.72979466967,0.0,8747579.1866647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6931515.861899134,0.0,941305.4060990966,4106.32752504106,947412.7529646568,0.0,0.0,0.0,0.0,123569.78920095472,32886.0,1555546.4605685953,0.0 
 01/02  05:00:00,283584.255342467,0.0,0.0,1714253.066811034,10482384.651105453,282426.5586128107,0.0,10482384.651105453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8246718.524945509,0.0,1187427.6610493973,16425.310100164195,977974.4546731942,0.0,0.0,0.0,0.0,137381.7981825619,32886.0,0.0,0.0 
 01/02  06:00:00,331894.4502033306,0.0,0.0,2058547.2305163956,11257642.321405992,308271.0866735461,0.0,11257642.321405992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8809243.176949989,3208.595889420704,1322634.9123154055,114819.23502710936,1008536.1563817315,0.0,0.0,0.0,0.0,376959.53725778716,32886.0,0.0,0.0 
 01/02  07:00:00,546388.5104781898,0.0,0.0,3059063.067459349,15439062.531723114,374008.65880831438,0.0,13792348.587408152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10797417.84545918,711494.0760884795,1615695.883208158,393628.34493246077,1130782.9632158809,0.0,0.0,0.0,0.0,884996.9349569638,122886.0,1646713.9443149623,0.0 
 01/02  08:00:00,849122.5491360219,0.0,0.0,3537840.427548821,8472017.025003417,234299.5997170781,0.0,6916212.385443834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5285930.772144971,318612.9686999478,941123.5819021881,418213.6648580268,1283591.4717585676,0.0,0.0,0.0,0.0,1119940.8069371533,50886.0,1555804.6395595836,0.0 
 01/02  09:00:00,1064601.7448981524,0.0,0.0,3751704.444247111,7530048.587763033,149880.99521846127,0.0,5922326.142814365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4670053.3919356879,1310210.8316200462,659526.3743490233,401788.3547578626,1314153.1734671049,0.0,0.0,0.0,0.0,1190182.5306633923,32886.0,1607722.4449486682,0.0 
